"","id","wave","w2val006b","w2rit002"
"1","1","c",3,3
"2","4","c",3,2
"3","8","c",2,2
"4","9","c",2,3
"5","10","c",4,6
"6","14","c",2,2
"7","16","c",5,3
"8","19","c",4,3
"9","23","c",3,2
"10","25","c",4,3
"11","27","c",5,7
"12","28","c",2,5
"13","29","b",1,8
"14","30","b",2,1
"15","30","c",2,1
"16","31","b",2,5
"17","31","c",2,4
"18","32","b",2,4
"19","33","b",2,2
"20","34","b",2,4
"21","35","b",3,4
"22","36","b",3,4
"23","37","b",3,2
"24","38","b",3,3
"25","39","b",4,1
"26","41","b",5,4
"27","41","c",5,3
"28","42","c",4,5
"29","43","c",3,3
"30","46","c",3,2
"31","47","c",2,2
"32","50","c",3,4
"33","51","c",3,2
"34","58","c",4,7
"35","60","c",3,5
"36","62","c",3,7
"37","63","c",2,4
"38","64","c",2,3
"39","66","c",3,3
"40","67","c",4,3
"41","68","c",3,2
"42","72","c",3,5
"43","73","c",2,1
"44","74","c",2,3
"45","75","c",2,2
"46","77","c",2,4
"47","78","c",2,4
"48","81","c",4,3
"49","83","c",3,3
"50","84","c",3,1
"51","86","c",3,5
"52","88","c",2,2
"53","89","c",3,5
"54","91","c",1,2
"55","92","c",2,4
"56","93","c",1,3
"57","95","c",3,4
"58","96","c",5,3
"59","97","c",3,4
"60","99","b",1,3
"61","99","c",2,3
"62","100","b",1,2
"63","101","b",1,2
"64","102","b",1,5
"65","102","c",2,3
"66","103","b",1,5
"67","103","c",1,3
"68","104","b",1,4
"69","105","b",1,6
"70","105","c",2,4
"71","106","b",1,4
"72","106","c",1,3
"73","107","b",1,4
"74","107","c",2,2
"75","108","b",1,4
"76","108","c",3,3
"77","109","b",1,4
"78","109","c",2,3
"79","110","b",1,3
"80","110","c",2,3
"81","111","b",1,1
"82","111","c",3,4
"83","112","b",2,3
"84","112","c",3,4
"85","113","b",2,5
"86","113","c",2,4
"87","114","b",2,3
"88","115","b",2,6
"89","115","c",1,2
"90","116","b",2,5
"91","117","b",2,1
"92","118","b",2,5
"93","118","c",3,3
"94","119","b",2,5
"95","119","c",2,6
"96","120","b",2,3
"97","120","c",4,4
"98","121","b",2,3
"99","121","c",2,2
"100","122","b",2,3
"101","123","b",2,8
"102","124","b",2,6
"103","124","c",1,3
"104","125","b",2,11
"105","126","b",2,3
"106","127","b",2,3
"107","127","c",2,2
"108","128","b",2,5
"109","128","c",2,4
"110","129","b",2,5
"111","129","c",3,2
"112","130","b",2,3
"113","131","b",2,4
"114","131","c",2,3
"115","132","b",2,11
"116","132","c",2,7
"117","133","b",2,3
"118","134","b",2,1
"119","135","b",2,5
"120","135","c",1,2
"121","136","b",2,2
"122","137","b",2,5
"123","138","b",2,5
"124","138","c",3,3
"125","139","b",2,3
"126","139","c",2,3
"127","140","b",2,3
"128","140","c",2,3
"129","141","b",2,2
"130","141","c",2,2
"131","142","b",2,8
"132","142","c",2,6
"133","143","b",2,2
"134","143","c",3,3
"135","144","b",2,4
"136","145","b",2,3
"137","145","c",2,2
"138","146","b",2,5
"139","146","c",2,4
"140","147","b",2,2
"141","148","b",2,3
"142","148","c",2,3
"143","149","b",2,3
"144","149","c",3,3
"145","150","b",2,3
"146","150","c",2,2
"147","151","b",2,3
"148","151","c",2,2
"149","152","b",2,3
"150","152","c",2,2
"151","153","b",2,2
"152","153","c",3,2
"153","154","b",2,3
"154","154","c",2,2
"155","155","b",2,3
"156","155","c",2,2
"157","156","b",2,6
"158","157","b",2,5
"159","157","c",2,3
"160","158","b",2,4
"161","158","c",2,2
"162","159","b",2,5
"163","159","c",3,3
"164","160","b",2,8
"165","160","c",2,5
"166","161","b",2,4
"167","162","b",2,3
"168","163","b",2,4
"169","163","c",2,3
"170","164","b",2,4
"171","164","c",2,2
"172","165","b",2,3
"173","165","c",3,5
"174","166","b",2,4
"175","166","c",1,3
"176","167","b",2,4
"177","168","b",2,5
"178","168","c",3,2
"179","169","b",3,2
"180","169","c",1,3
"181","170","b",3,3
"182","170","c",3,3
"183","171","c",5,3
"184","172","b",3,1
"185","172","c",1,1
"186","173","b",3,4
"187","173","c",2,3
"188","174","b",3,2
"189","175","b",3,3
"190","175","c",4,3
"191","176","b",3,3
"192","176","c",2,3
"193","177","c",3,1
"194","178","b",3,5
"195","179","b",3,3
"196","180","b",3,7
"197","180","c",3,3
"198","181","b",3,5
"199","181","c",2,5
"200","182","b",3,1
"201","182","c",3,1
"202","183","b",3,4
"203","184","b",3,5
"204","185","b",3,4
"205","185","c",3,2
"206","186","b",3,3
"207","187","b",3,4
"208","187","c",3,3
"209","188","b",3,6
"210","188","c",3,5
"211","189","b",3,8
"212","189","c",3,4
"213","190","b",3,3
"214","191","b",3,3
"215","191","c",2,2
"216","192","b",3,7
